id,ident,name,type,latitude_deg,longitude_deg,iso_country,country_name,iso_region,iata_code
2707,ESSP,Norrköping Airport,medium_airport,58.586299896240234,16.250600814819336,SE,Sweden,SE-E,NRK
2708,ESST,Torsby Airport,medium_airport,60.1576,12.9913,SE,Sweden,SE-S,TYF
2709,ESSU,Eskilstuna Airport,medium_airport,59.351101,16.708401,SE,Sweden,SE-D,EKT
2710,ESSV,Visby Airport,large_airport,57.6628,18.346201,SE,Sweden,SE-I,VBY
2711,ESTA,Ängelholm-Helsingborg Airport,medium_airport,56.29610061645508,12.847100257873535,SE,Sweden,SE-M,AGH
2713,ESUD,Storuman Airport,medium_airport,64.960899,17.6966,SE,Sweden,SE-AC,SQO
2717,ETAD,Spangdahlem Air Base,medium_airport,49.976507,6.698413,DE,Germany,DE-RP,SPM
2718,ETAR,Ramstein Air Base,medium_airport,49.436901,7.60028,DE,Germany,DE-RP,RMS
2724,ETHF,Fritzlar Army Airfield,medium_airport,51.1146,9.286,DE,Germany,DE-HE,FRZ
2734,ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,medium_airport,53.767689,8.659201,DE,Germany,DE-NI,FCN
2736,ETNG,Geilenkirchen Air Base,medium_airport,50.9608,6.04242,DE,Germany,DE-NW,GKE
2739,ETNL,Rostock-Laage Airport,medium_airport,53.918201,12.2783,DE,Germany,DE-MV,RLG
2741,ETNS,Schleswig Air Base,medium_airport,54.459301,9.51633,DE,Germany,DE-SH,WBG
2743,EDBN,Neubrandenburg Trollenhagen Airport,medium_airport,53.6022,13.306,DE,Germany,DE-MV,FNB
2747,ETOU,Wiesbaden Army Airfield,medium_airport,50.049800872802734,8.325400352478027,DE,Germany,DE-HE,WIE
2753,ETSI,Ingolstadt Manching Airport,medium_airport,48.7156982421875,11.534000396728516,DE,Germany,DE-BY,IGS
2757,EVLA,Liepāja International Airport,large_airport,56.517502,21.096901,LV,Latvia,LV-112,LPX
2758,EVRA,Riga International Airport,large_airport,56.920752,23.970711,LV,Latvia,LV-062,RIX
2760,EYKA,Kaunas International Airport,large_airport,54.963965,24.08582,LT,Lithuania,LT-KU,KUN
2762,EYPA,Palanga International Airport,large_airport,55.973202,21.093901,LT,Lithuania,LT-KL,PLQ
2763,EYPP,Panevėžys Air Base,medium_airport,55.729400634765625,24.46080017089844,LT,Lithuania,LT-PN,PNV
2764,EYSA,Šiauliai International Airport,medium_airport,55.89390182495117,23.395000457763672,LT,Lithuania,LT-SA,SQQ
2766,EYVI,Vilnius International Airport,large_airport,54.634102,25.285801,LT,Lithuania,LT-VL,VNO
2767,FAAB,Alexander Bay Airport,medium_airport,-28.575001,16.5333,ZA,South Africa,ZA-NC,ALJ
2768,FAAG,Aggeneys Airport,medium_airport,-29.281799,18.8139,ZA,South Africa,ZA-NC,AGZ
